"court_id","court_name","circuit","state","cmecf_go_live_date","cmecf_go_live_date_precision","mandatory_efiling_date","pilot_program_date","source_url","source_type","source_text","extraction_timestamp","confidence_score","notes"
"akd","District of Alaska","9","AK","","unknown","","","","not_found","","2025-11-28T22:34:30.514414","0",""
"almd","Middle District of Alabama","11","AL","","unknown","","","","not_found","","2025-11-28T22:39:03.738120","0",""
"alnd","Northern District of Alabama","11","AL","","unknown","","","","not_found","","2025-11-28T22:39:16.708281","0",""
"alsd","Southern District of Alabama","11","AL","","unknown","","","","not_found","","2025-11-28T22:39:29.712251","0",""
"ared","Eastern District of Arkansas","8","AR","","unknown","","","","not_found","","2025-11-28T22:32:30.909490","0",""
"arwd","Western District of Arkansas","8","AR","","unknown","","","","not_found","","2025-11-28T22:32:43.874240","0",""
"azd","District of Arizona","9","AZ","","unknown","","","","not_found","","2025-11-28T22:34:43.479476","0",""
"cacd","Central District of California","9","CA","","unknown","","","","not_found","","2025-11-28T22:34:56.458683","0",""
"caed","Eastern District of California","9","CA","","unknown","","","","not_found","","2025-11-28T22:35:09.422549","0",""
"cand","Northern District of California","9","CA","2001-04-02","exact","","2001-04-02","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Pilot April 2, 2001; Full January 1, 2003","2025-11-28T22:35:22.398365","5",""
"casd","Southern District of California","9","CA","2002-01-01","year","","2002-01-01","https://www.justice.gov/archive/ust/articles/docs/abi_042002a.pdf","known_reference","Bankruptcy CM/ECF pilot district","2025-11-28T22:35:30.333165","5",""
"cod","District of Colorado","10","CO","2005-06-20","exact","","","http://www.cod.uscourts.gov/Portals/0/Documents/CMECF/CM-Archived/cm_slides_intro.pdf","known_reference","Electronic filing live; no paper files after this date","2025-11-28T22:37:29.981303","5",""
"ctd","District of Connecticut","2","CT","2003-10-01","month","","","https://www.ctd.uscourts.gov/cmecf-notices-instructions-0","known_reference","Converted existing case data to CM/ECF October 2003","2025-11-28T22:23:29.123080","5",""
"dcd","District of Columbia","DC","DC","","unknown","","","","not_found","","2025-11-28T22:40:50.500738","0",""
"ded","District of Delaware","3","DE","2002-01-01","year","","2002-01-01","https://www.justice.gov/archive/ust/articles/docs/abi_042002a.pdf","known_reference","Bankruptcy CM/ECF pilot district","2025-11-28T22:24:26.910903","5",""
"flmd","Middle District of Florida","11","FL","","unknown","","","","not_found","","2025-11-28T22:39:42.672802","0",""
"flnd","Northern District of Florida","11","FL","","unknown","","","","not_found","","2025-11-28T22:39:55.639461","0",""
"flsd","Southern District of Florida","11","FL","2002-01-01","year","","","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Local system 2002, mandatory 2004","2025-11-28T22:40:08.616381","5",""
"gamd","Middle District of Georgia","11","GA","","unknown","","","","not_found","","2025-11-28T22:40:16.554383","0",""
"gand","Northern District of Georgia","11","GA","2002-01-01","year","","2002-01-01","https://www.justice.gov/archive/ust/articles/docs/abi_042002a.pdf","known_reference","Bankruptcy CM/ECF pilot; General Order No. 5 Jan 2000","2025-11-28T22:40:29.555941","5",""
"gasd","Southern District of Georgia","11","GA","","unknown","","","","not_found","","2025-11-28T22:40:37.489113","0",""
"gud","District of Guam","9","GU","","unknown","","","","not_found","","2025-11-28T22:35:38.269283","0",""
"hid","District of Hawaii","9","HI","","unknown","","","","not_found","","2025-11-28T22:35:51.233173","0",""
"iand","Northern District of Iowa","8","IA","","unknown","","","","not_found","","2025-11-28T22:33:09.810188","0",""
"iasd","Southern District of Iowa","8","IA","","unknown","","","","not_found","","2025-11-28T22:32:56.835303","0",""
"idd","District of Idaho","9","ID","","unknown","","","","not_found","","2025-11-28T22:36:04.195300","0",""
"ilcd","Central District of Illinois","7","IL","","unknown","","","","not_found","","2025-11-28T22:31:00.139168","0",""
"ilnd","Northern District of Illinois","7","IL","","unknown","","","","not_found","","2025-11-28T22:31:13.104289","0",""
"ilsd","Southern District of Illinois","7","IL","","unknown","","","","not_found","","2025-11-28T22:31:26.079463","0",""
"innd","Northern District of Indiana","7","IN","","unknown","","","","not_found","","2025-11-28T22:31:39.044533","0",""
"insd","Southern District of Indiana","7","IN","","unknown","","","","not_found","","2025-11-28T22:31:52.007193","0",""
"ksd","District of Kansas","10","KS","","unknown","","","","not_found","","2025-11-28T22:37:37.921122","0",""
"kyed","Eastern District of Kentucky","6","KY","","unknown","","","","not_found","","2025-11-28T22:29:13.349108","0",""
"kywd","Western District of Kentucky","6","KY","","unknown","","","","not_found","","2025-11-28T22:29:26.347699","0",""
"laed","Eastern District of Louisiana","5","LA","2003-12-01","month","","","https://www.laed.uscourts.gov/case-information/electronic-filing","known_reference","Cases available Dec 2003; mandatory Jan 2007","2025-11-28T22:27:26.563537","5",""
"lamd","Middle District of Louisiana","5","LA","","unknown","","","","not_found","","2025-11-28T22:27:34.498892","0",""
"lawd","Western District of Louisiana","5","LA","","unknown","","","","not_found","","2025-11-28T22:27:47.502429","0",""
"mad","District of Massachusetts","1","MA","2003-10-01","exact","","","https://www.mad.uscourts.gov/caseinfo/pdf/ECFadminProc.pdf","known_reference","Local Rule 5.4 electronic filing","2025-11-28T22:22:29.165980","5",""
"mdd","District of Maryland","4","MD","","unknown","","","","not_found","","2025-11-28T22:25:34.683029","0",""
"med","District of Maine","1","ME","","unknown","","","","not_found","","2025-11-28T22:22:37.119618","0",""
"mied","Eastern District of Michigan","6","MI","2004-06-01","exact","","","https://www.mied.uscourts.gov/pdffiles/policies_procedures.pdf","known_reference","Official record electronic; mandatory Nov 30, 2005","2025-11-28T22:29:39.324604","5",""
"miwd","Western District of Michigan","6","MI","","unknown","","","","not_found","","2025-11-28T22:29:47.261148","0",""
"mnd","District of Minnesota","8","MN","","unknown","","","","not_found","","2025-11-28T22:33:22.771295","0",""
"moed","Eastern District of Missouri","8","MO","","unknown","","","","not_found","","2025-11-28T22:33:35.735500","0",""
"mowd","Western District of Missouri","8","MO","1997-01-01","year","","1997-01-01","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Late 1997 pilot","2025-11-28T22:33:48.696927","5",""
"msnd","Northern District of Mississippi","5","MS","","unknown","","","","not_found","","2025-11-28T22:28:00.523851","0",""
"mssd","Southern District of Mississippi","5","MS","","unknown","","","","not_found","","2025-11-28T22:28:13.491605","0",""
"mtd","District of Montana","9","MT","","unknown","","","","not_found","","2025-11-28T22:36:17.212174","0",""
"nced","Eastern District of North Carolina","4","NC","","unknown","","","","not_found","","2025-11-28T22:25:47.661643","0",""
"ncmd","Middle District of North Carolina","4","NC","","unknown","","","","not_found","","2025-11-28T22:26:00.640801","0",""
"ncwd","Western District of North Carolina","4","NC","","unknown","","","","not_found","","2025-11-28T22:26:13.666696","0",""
"ndd","District of North Dakota","8","ND","","unknown","","","","not_found","","2025-11-28T22:34:09.610962","0",""
"ned","District of Nebraska","8","NE","","unknown","","","","not_found","","2025-11-28T22:33:56.632068","0",""
"nhd","District of New Hampshire","1","NH","","unknown","","","","not_found","","2025-11-28T22:22:50.089557","0",""
"njd","District of New Jersey","3","NJ","2004-01-05","exact","","","https://www.historynjdc.org/history/history-of-the-united-states-district-court-for-the-district-of-new-jersey","known_reference","Documents available online after this date","2025-11-28T22:24:34.848363","5",""
"nmd","District of New Mexico","10","NM","","unknown","","","","not_found","","2025-11-28T22:37:50.900577","0",""
"nmid","District of Northern Mariana Islands","9","MP","","unknown","","","","not_found","","2025-11-28T22:36:43.145414","0",""
"nvd","District of Nevada","9","NV","","unknown","","","","not_found","","2025-11-28T22:36:30.172963","0",""
"nyed","Eastern District of New York","2","NY","1997-01-01","year","","1997-01-01","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Late 1997 pilot","2025-11-28T22:23:37.120675","5",""
"nynd","Northern District of New York","2","NY","2002-01-01","year","","","https://www.nynd.uscourts.gov/cmecf","known_reference","District court implementation began 2002","2025-11-28T22:23:45.055321","5",""
"nysd","Southern District of New York","2","NY","2003-12-02","exact","","","https://www.nysd.uscourts.gov/rules/ecf-related-instructions","known_reference","New civil and criminal cases assigned to ECF","2025-11-28T22:23:52.992429","5",""
"nywd","Western District of New York","2","NY","","unknown","","","","not_found","","2025-11-28T22:24:00.930253","0",""
"ohnd","Northern District of Ohio","6","OH","1996-01-01","year","","1996-01-01","https://en.wikipedia.org/wiki/CM/ECF","known_reference","First pilot - asbestos cases","2025-11-28T22:30:00.226698","5",""
"ohsd","Southern District of Ohio","6","OH","","unknown","","","","not_found","","2025-11-28T22:30:08.164281","0",""
"oked","Eastern District of Oklahoma","10","OK","","unknown","","","","not_found","","2025-11-28T22:38:03.869366","0",""
"oknd","Northern District of Oklahoma","10","OK","","unknown","","","","not_found","","2025-11-28T22:38:16.835597","0",""
"okwd","Western District of Oklahoma","10","OK","2003-10-14","exact","","","https://www.okwd.uscourts.gov/ecf","known_reference","Document scanning began","2025-11-28T22:38:29.871902","5",""
"ord","District of Oregon","9","OR","1997-01-01","year","","1997-01-01","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Late 1997 pilot","2025-11-28T22:36:56.114663","5",""
"paed","Eastern District of Pennsylvania","3","PA","","unknown","","","","not_found","","2025-11-28T22:24:42.821441","0",""
"pamd","Middle District of Pennsylvania","3","PA","","unknown","","","","not_found","","2025-11-28T22:24:55.785340","0",""
"pawd","Western District of Pennsylvania","3","PA","","unknown","","","","not_found","","2025-11-28T22:25:08.748686","0",""
"prd","District of Puerto Rico","1","PR","","unknown","","","","not_found","","2025-11-28T22:23:03.050945","0",""
"rid","District of Rhode Island","1","RI","","unknown","","","","not_found","","2025-11-28T22:23:16.048321","0",""
"scd","District of South Carolina","4","SC","","unknown","","","","not_found","","2025-11-28T22:26:26.632076","0",""
"sdd","District of South Dakota","8","SD","2003-07-03","exact","","","https://www.sdd.uscourts.gov/case-info/cm-ecf-case-info","known_reference","CM/ECF went live per court website","2025-11-28T22:34:22.577473","5",""
"tned","Eastern District of Tennessee","6","TN","","unknown","","","","not_found","","2025-11-28T22:30:21.132309","0",""
"tnmd","Middle District of Tennessee","6","TN","","unknown","","","","not_found","","2025-11-28T22:30:34.097086","0",""
"tnwd","Western District of Tennessee","6","TN","","unknown","","","","not_found","","2025-11-28T22:30:47.173772","0",""
"txed","Eastern District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T22:28:26.467338","0",""
"txnd","Northern District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T22:28:39.432905","0",""
"txsd","Southern District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T22:28:52.396122","0",""
"txwd","Western District of Texas","5","TX","2006-09-01","exact","","","https://www.txwd.uscourts.gov/wp-content/uploads/Attorney%20Application%20and%20Registration/Administrative%20Policies%20and%20Procedures%20for%20Electronic%20Filing%20in%20Civil%20&%20Criminal%20Cases.pdf","known_reference","Electronic filing began; mandatory Nov 1, 2006","2025-11-28T22:29:05.362774","5",""
"utd","District of Utah","10","UT","","unknown","","","","not_found","","2025-11-28T22:38:37.807875","0",""
"vaed","Eastern District of Virginia","4","VA","2002-01-01","year","","2002-01-01","https://www.justice.gov/archive/ust/articles/docs/abi_042002a.pdf","known_reference","Early pilot district; Standing Order 01-6 Nov 2001","2025-11-28T22:26:39.605874","5",""
"vawd","Western District of Virginia","4","VA","","unknown","","","","not_found","","2025-11-28T22:26:47.556372","0",""
"vid","District of the Virgin Islands","3","VI","","unknown","","","","not_found","","2025-11-28T22:25:21.716225","0",""
"vtd","District of Vermont","2","VT","","unknown","","","","not_found","","2025-11-28T22:24:13.909089","0",""
"waed","Eastern District of Washington","9","WA","","unknown","","","","not_found","","2025-11-28T22:37:04.051210","0",""
"wawd","Western District of Washington","9","WA","","unknown","","","","not_found","","2025-11-28T22:37:17.017068","0",""
"wied","Eastern District of Wisconsin","7","WI","","unknown","","","","not_found","","2025-11-28T22:32:04.974193","0",""
"wiwd","Western District of Wisconsin","7","WI","","unknown","","","","not_found","","2025-11-28T22:32:17.942215","0",""
"wvnd","Northern District of West Virginia","4","WV","","unknown","","","","not_found","","2025-11-28T22:27:00.548704","0",""
"wvsd","Southern District of West Virginia","4","WV","","unknown","","","","not_found","","2025-11-28T22:27:13.513944","0",""
