"court_id","court_name","circuit","state","cmecf_go_live_date","cmecf_go_live_date_precision","mandatory_efiling_date","pilot_program_date","source_url","source_type","source_text","extraction_timestamp","confidence_score","notes"
"akd","District of Alaska","9","AK","","unknown","","","","not_found","","2025-11-28T21:37:17.439637","0",""
"almd","Middle District of Alabama","11","AL","","unknown","","","","not_found","","2025-11-28T21:42:00.862898","0",""
"alnd","Northern District of Alabama","11","AL","","unknown","","","","not_found","","2025-11-28T21:42:13.839818","0",""
"alsd","Southern District of Alabama","11","AL","","unknown","","","","not_found","","2025-11-28T21:42:26.806043","0",""
"ared","Eastern District of Arkansas","8","AR","","unknown","","","","not_found","","2025-11-28T21:35:17.701408","0",""
"arwd","Western District of Arkansas","8","AR","","unknown","","","","not_found","","2025-11-28T21:35:30.669026","0",""
"azd","District of Arizona","9","AZ","","unknown","","","","not_found","","2025-11-28T21:37:30.420870","0",""
"cacd","Central District of California","9","CA","","unknown","","","","not_found","","2025-11-28T21:37:43.439046","0",""
"caed","Eastern District of California","9","CA","","unknown","","","","not_found","","2025-11-28T21:37:56.496365","0",""
"cand","Northern District of California","9","CA","","unknown","","2001-04-02","known_reference","known_reference","Pilot April 2, 2001; Full January 1, 2003","2025-11-28T21:38:09.461627","5",""
"casd","Southern District of California","9","CA","","unknown","","","","not_found","","2025-11-28T21:38:17.395589","0",""
"cod","District of Colorado","10","CO","","unknown","","","","not_found","","2025-11-28T21:40:22.110717","0",""
"ctd","District of Connecticut","2","CT","","unknown","","","","not_found","","2025-11-28T21:25:40.771383","0",""
"dcd","District of Columbia","DC","DC","","unknown","","","","not_found","","2025-11-28T21:43:52.619939","0",""
"ded","District of Delaware","3","DE","","unknown","","","","not_found","","2025-11-28T21:26:48.596502","0",""
"flmd","Middle District of Florida","11","FL","","unknown","","","","not_found","","2025-11-28T21:42:39.769461","0",""
"flnd","Northern District of Florida","11","FL","","unknown","","","","not_found","","2025-11-28T21:42:52.784091","0",""
